ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	IDNK_RNA	H6PD_RNA	PGLS_RNA	PGD_RNA	Gluconic acid_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	6.58707747552351	7.76086506513567	6.05844620925264	8.05011422994006	22.0874	21.5032
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	6.92438507036238	8.15607973067459	6.27947262313002	7.65614355437467	23.2737	22.3594
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	7.08370847668215	8.52900175682358	5.98136363031104	7.64823792410684	22.1785	20.9724
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.01564182073282	8.234694338815	5.88549007743704	6.70692422467108	21.8675	21.7919
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.76664635196242	7.96298648401203	6.04848169922056	7.77868991340131	21.949	20.3841
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	6.80992843959915	7.92991556226431	6.01737365525554	8.00817045475422	21.3454	20.7793
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.82883260832607	8.58877467245712	5.78797812162478	7.13619626171212	22.3615	22.465
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	6.89123636662221	7.18673007155502	5.72072639825323	8.89782423191087	19.1956	20.4312
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	6.40509370798332	7.29654547142664	6.39803929149108	8.89136873377287	23.3818	20.9064
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	6.62964371451326	8.38038741399582	5.96484662623382	7.56344735665323	25.107	18.8849
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	6.59175117332884	7.01329516064645	6.26681251868332	8.32295585118487	21.1791	19.9466
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.21675243215568	7.7653618694476	6.1329421450988	7.83219336127551	21.6696	19.1888
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.07788118945894	7.74270033748279	6.39394566272235	6.7504718625198	22.6571	18.8357
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.1410727476522	7.4861675212604	6.09395930254452	8.20067920100915	22.9944	16.5187
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	6.52302017859627	7.52389372296685	6.4598117102132	7.06220673705673	22.3985	22.2153
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	7.37033756030787	8.35665887406646	6.0923734211026	7.25498996094216	21.6964	19.0332
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.49398912699228	7.90412683034876	6.56648342565417	7.65864825202462	21.7012	21.4428
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.96619202263735	7.51871392779232	6.46169611905186	7.64984022984441	23.3327	16.8099
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	6.82615749730304	8.33405052264687	5.83732069293352	9.45002801883476	16.7982	16.6274
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	6.72032691948035	9.10209828886473	6.49270393349054	8.5619368059132	22.8876	21.6608
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	6.59035278142141	8.11739344075449	6.47165866639695	7.36884874281068	22.439	17.0405
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.14128205122113	8.35467548202541	6.15244969352862	7.60011316223001	23.4921	17.8497
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	6.84067134442886	8.9319528362295	6.28697256867943	7.42758066393959	22.3531	19.3328
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.95689398468976	6.70177197165776	5.97023642471093	8.41620450606955	14.1904	15.3726
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	6.93657713062264	8.66819503209528	6.62755984854583	8.44641049843605	21.8614	18.7681
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	6.49727067422742	8.51684447888004	6.08319900622281	9.11372966397706	24.0057	16.9527
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	6.49119188106708	7.26458703988515	6.18418228483501	8.49362766179902	22.5993	18.2038
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	6.82919477033083	8.09254600538994	5.51507981913245	7.22555887427754	22.8149	20.9013
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	7.0695974276496	8.3596271802684	6.0200042106164	7.96057385087964	22.7179	17.3423
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.05241546946482	8.22269218036861	6.03745344604836	8.00377827967952	24.3386	17.5688
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.89194672480958	8.35232535469279	7.06176908520682	8.50086097140223	21.5581	19.7025
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.15531049576068	8.12079221468656	6.37760029095264	8.37267486912851	19.1713	17.4977
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.50618120862686	8.87905704026472	6.39049504121533	7.71297259666331	14.1904	18.8508
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	7.12867805158257	8.70504578507057	6.4771578499736	7.95909568833737	24.9423	20.6048
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.16946295382947	8.08258018379625	6.1024813403341	7.07971733518576	22.4251	16.0199
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	6.62004560469927	7.23656109675169	6.06495077454339	7.02766706687402	22.2034	20.0328
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	6.78757070625576	7.45296742635631	6.3423921498914	7.17544676113609	20.1829	18.6367
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	6.98094136883556	7.99584754243982	6.36283441297879	7.39622882135152	23.618	20.6393
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	6.69294766102567	7.34467205771688	6.26002794109051	7.61164414227908	23.3126	18.8063
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	6.79595969857274	7.03532465689229	5.54984265424232	7.6379255407308	22.153	20.0005
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.48931577269622	8.16546104797864	5.98260064538322	7.65049692509201	21.2332	19.8577
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.87936661414822	7.63941912740817	6.323293123016	7.44467202218076	21.1056	20.3987
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.03351116323052	8.6271833153784	6.25712814247577	7.8252403109874	22.1912	21.5286
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	6.44353476442603	6.22762520613702	6.38078840048981	7.12236795165955	19.4177	12.5418
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	7.07767146790327	8.55972398598901	6.15978323407845	8.12064931522927	22.7892	19.678
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	6.8485869647763	8.93011204550224	6.80392384358484	8.32202363804768	21.836	21.4887
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	7.36338141789392	8.33146575149733	6.48670253941255	7.77235468501284	21.227	18.0404
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	6.95049854309738	8.20848102223684	6.34575503519632	7.72764183686383	23.2702	16.747
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	7.1215731463788	9.16240365788394	5.64262481711853	7.8956516807824	21.7251	18.5201
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	7.04673428629847	8.88543330433984	5.71042675590049	7.30942207464424	23.8272	21.7847
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.48106402580316	8.45528762532204	6.14470229604972	7.15299292629239	14.1904	20.7188
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.93891080490168	8.15125966203721	6.11083473035715	8.05533044040944	22.6954	19.9847
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	6.92982113658252	7.65026747323195	6.39286852735618	7.11070425924101	22.3145	19.9581
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	6.61806631435994	7.92986497936735	5.8582717138204	9.95829532918785	14.1904	18.0926
