ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	IDNK_RNA	6-Phosphogluconic acid_upmeta	ADP_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	6.58707747552351	21.5032	21.7825	22.0874
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	6.92438507036238	22.3594	21.7461	23.2737
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	7.08370847668215	20.9724	20.7021	22.1785
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.01564182073282	21.7919	23.3616	21.8675
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.76664635196242	20.3841	21.3069	21.949
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	6.80992843959915	20.7793	20.1648	21.3454
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.82883260832607	22.465	19.9908	22.3615
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	6.89123636662221	20.4312	18.9109	19.1956
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	6.40509370798332	20.9064	19.5228	23.3818
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	6.62964371451326	18.8849	19.0437	25.107
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	6.59175117332884	19.9466	19.7952	21.1791
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.21675243215568	19.1888	17.2504	21.6696
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.07788118945894	18.8357	17.7645	22.6571
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.1410727476522	16.5187	18.9684	22.9944
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	6.52302017859627	22.2153	22.2958	22.3985
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	7.37033756030787	19.0332	19.0375	21.6964
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.49398912699228	21.4428	20.4755	21.7012
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.96619202263735	16.8099	17.3087	23.3327
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	6.82615749730304	16.6274	20.3649	16.7982
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	6.72032691948035	21.6608	21.7409	22.8876
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	6.59035278142141	17.0405	19.5537	22.439
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.14128205122113	17.8497	16.4594	23.4921
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	6.84067134442886	19.3328	21.742	22.3531
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.95689398468976	15.3726	20.3212	14.1904
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	6.93657713062264	18.7681	17.2911	21.8614
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	6.49727067422742	16.9527	16.289	24.0057
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	6.49119188106708	18.2038	19.0282	22.5993
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	6.82919477033083	20.9013	20.4143	22.8149
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	7.0695974276496	17.3423	21.5152	22.7179
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.05241546946482	17.5688	11.6096	24.3386
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.89194672480958	19.7025	18.4656	21.5581
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.15531049576068	17.4977	11.6096	19.1713
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.50618120862686	18.8508	20.3154	14.1904
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	7.12867805158257	20.6048	20.2929	24.9423
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.16946295382947	16.0199	20.3338	22.4251
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	6.62004560469927	20.0328	21.2427	22.2034
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	6.78757070625576	18.6367	20.6615	20.1829
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	6.98094136883556	20.6393	19.4476	23.618
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	6.69294766102567	18.8063	17.9664	23.3126
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	6.79595969857274	20.0005	21.7674	22.153
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	6.48931577269622	19.8577	11.6096	21.2332
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.87936661414822	20.3987	21.0956	21.1056
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.03351116323052	21.5286	22.3511	22.1912
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	6.44353476442603	12.5418	19.8844	19.4177
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	7.07767146790327	19.678	19.2552	22.7892
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	6.8485869647763	21.4887	20.4462	21.836
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	7.36338141789392	18.0404	19.8126	21.227
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	6.95049854309738	16.747	11.6096	23.2702
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	7.1215731463788	18.5201	19.4333	21.7251
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	7.04673428629847	21.7847	22.2574	23.8272
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.48106402580316	20.7188	21.8852	14.1904
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.93891080490168	19.9847	20.3919	22.6954
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	6.92982113658252	19.9581	20.6876	22.3145
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	6.61806631435994	18.0926	19.6866	14.1904
